Series Code,Series Name,Short definition,Topic
DT.INT.BLAT.CB.CD,"CB, bilateral (INT, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Interest
DT.NFL.BLAT.CB.CD,"CB, bilateral (NFL, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net flows
DT.NTR.BLAT.CB.CD,"CB, bilateral (NTR, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net transfers on external debt are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net transfers
DT.TDS.BLAT.CB.CD,"CB, bilateral (TDS, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.AMT.BLTC.CB.CD,"CB, bilateral concessional (AMT, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves.Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Amortization
DT.DIS.BLTC.CB.CD,"CB, bilateral concessional (DIS, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DOD.BLTC.CB.CD,"CB, bilateral concessional (DOD, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent.  Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.INT.BLTC.CB.CD,"CB, bilateral concessional (INT, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent.  Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Interest
DT.NFL.BLTC.CB.CD,"CB, bilateral concessional (NFL, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net flows
DT.NTR.BLTC.CB.CD,"CB, bilateral concessional (NTR, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Net transfers on external debt are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net transfers
DT.TDS.BLTC.CB.CD,"CB, bilateral concessional (TDS, current US$)","Central bank bilateral debt includes Central bank debt with bilateral creditors. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.AMT.PBND.CB.CD,"CB, bonds (AMT, current US$)","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Amortization
DT.DIS.PBND.CB.CD,"CB, bonds (DIS, current US$)","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DOD.PBND.CB.CD,"CB, bonds (DOD, current US$)","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.INT.PBND.CB.CD,"CB, bonds (INT, current US$)","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Interest
DT.NFL.PBND.CB.CD,"CB, bonds (NFL, current US$)","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net flows
DT.NTR.PBND.CB.CD,"CB, bonds (NTR, current US$)","Central bank debt in form of bonds.The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net transfers on external debt are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net transfers
DT.TDS.PBND.CB.CD,"CB, bonds (TDS, current US$)","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.AMT.PCBK.CB.CD,"CB, commercial banks (AMT, current US$)","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Amortization
DT.DIS.PCBK.CB.CD,"CB, commercial banks (DIS, current US$)","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DOD.PCBK.CB.CD,"CB, commercial banks (DOD, current US$)","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves.Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.INT.PCBK.CB.CD,"CB, commercial banks (INT, current US$)","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves.  Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Interest
DT.NFL.PCBK.CB.CD,"CB, commercial banks (NFL, current US$)","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net flows
DT.NTR.PCBK.CB.CD,"CB, commercial banks (NTR, current US$)","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net transfers on external debt are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net transfers
DT.TDS.PCBK.CB.CD,"CB, commercial banks (TDS, current US$)","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.AMT.MLAT.CB.CD,"CB, multilateral (AMT, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Amortization
DT.DIS.MLAT.CB.CD,"CB, multilateral (DIS, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments.The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DOD.MLAT.CB.CD,"CB, multilateral (DOD, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments.The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.INT.MLAT.CB.CD,"CB, multilateral (INT, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves.Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Interest
DT.NFL.MLAT.CB.CD,"CB, multilateral (NFL, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net flows
DT.NTR.MLAT.CB.CD,"CB, multilateral (NTR, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net transfers on external debt are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net transfers
DT.TDS.MLAT.CB.CD,"CB, multilateral (TDS, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves.Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt service
DT.AMT.MLTC.CB.CD,"CB, multilateral concessional (AMT, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Amortization
DT.DIS.MLTC.CB.CD,"CB, multilateral concessional (DIS, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments.The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Disbursements
DT.DOD.MLTC.CB.CD,"CB, multilateral concessional (DOD, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Debt outstanding
DT.INT.MLTC.CB.CD,"CB, multilateral concessional (INT, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Interest
DT.NFL.MLTC.CB.CD,"CB, multilateral concessional (NFL, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net flows
DT.NTR.MLTC.CB.CD,"CB, multilateral concessional (NTR, current US$)","Central bank multilateral loans include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Net transfers on external debt are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars.",Economic Policy & Debt: External debt: Net transfers
